Estimates of Monthly Retail and Food Services Sales by Kind of Business: 2017,,,,,,,,,,,,,,
"[Estimates are shown in millions of dollars and are based on data from the Monthly Retail Trade Survey, Annual Retail Trade Survey, Service Annual Survey, and administrative records]",,,,,,,,,,,,,,
,,,,,,,,,,,,,,
NAICS  Code,Kind of Business,,,,,,,,,,,,,
,,Jan. 2017,Feb. 2017,Mar. 2017,Apr. 2017,May 2017,Jun. 2017,Jul. 2017,Aug. 2017,Sep. 2017,Oct. 2017,Nov. 2017,Dec. 2017,TOTAL
,NOT ADJUSTED,,,,,,,,,,,,,
,"Retail and food services sales, total",421943,418315,483082,465788,494621,481729,475374,490324,469710,476014,497748,558215,5732863
,Retail sales and food services excl motor vehicle and parts,336756,328901,376796,368476,388989,379136,373146,385526,369739,378618,402994,458090,4547167
,Retail sales and food services excl gasoline stations,386019,384105,443979,426328,453329,441236,435163,448690,428033,434050,457507,518272,5256711
,Retail sales and food services excl motor vehicle and parts and gasoline stations,300832,294691,337693,329016,347697,338643,332935,343892,328062,336654,362753,418147,4071015
,"Retail sales, total",368960,365480,422891,407165,434450,423034,416900,431822,412578,417830,442077,497027,5040214
,"Retail sales, total (excl. motor vehicle and parts dealers)",283773,276066,316605,309853,328818,320441,314672,327024,312607,320434,347323,396902,3854518
,GAFO(1),89665,90295,103318,100738,104278,103200,102606,108670,100576,102945,118959,149727,1274977
441,Motor vehicle and parts dealers,85187,89414,106286,97312,105632,102593,102228,104798,99971,97396,94754,100125,1185696
"4411,4412",Automobile and other motor vehicle dealers,78171,82482,97923,89632,97493,94441,94321,96524,92143,89438,86977,92708,1092253
4411,Automobile dealers,74592,77677,91087,82252,89606,86383,87356,89966,86444,84382,82631,88211,1020587
44111,New car dealers,65936,67908,79946,72863,79723,76450,77677,80177,77024,75083,73878,79822,906487
44112,Used car dealers,8656,9769,11141,9389,9883,9933,9679,9789,9420,9299,8753,8389,114100
4413,"Automotive parts, acc., and tire stores",7016,6932,8363,7680,8139,8152,7907,8274,7828,7958,7777,7417,93443
"442,443","Furniture, home furn, electronics, and appliance stores",15441,15096,17310,15399,16729,16749,16467,17501,16970,16815,20405,22851,207733
442,Furniture and home furnishings stores,8407,8377,9815,8726,9574,9522,9396,10033,9676,9647,10702,11434,115309
4421,Furniture stores,4646,4757,5476,4749,5140,5084,5104,5229,5189,5050,5464,5400,61288
4422,Home furnishings stores,3761,3620,4339,3977,4434,4438,4292,4804,4487,4597,5238,6034,54021
44221,Floor covering stores,1459,1510,(S),(S),(S),(S),(S),(S),(S),(S),(S),(S),
442299,All other home furnishings stores,2181,1980,2317,2117,2401,2308,2319,2564,2299,2338,3046,4006,29876
443,Electronics and appliance stores,7034,6719,7495,6673,7155,7227,7071,7468,7294,7168,9703,11417,92424
443141,Household appliance stores,1302,1290,1493,1350,1453,1448,1396,1387,1385,1360,1510,1432,16806
443142,Electronics stores,5732,5429,6002,5323,5702,5779,5675,6081,5909,5808,8193,9985,75618
